,article_title,text,relevant,relevant_kristen,mismatch,predicted0,predicted
728,SFERS approves $60m commitment,"The US public pension has backed a North America and Europe-focused private debt fund.

Institution: San Francisco Employees' Retirement System
Headquarters: San Francisco, US  AUM: $30.65 billion  Allocation to alternatives: 39.50%  San Francisco Employees' Retirement System has approved a commitment of $60 million to Kennedy Lewis Capital Partners II, according to the pension’s January 2021 meeting agenda.  The $30.65 billion US public pension has a 10 percent target allocation to private debt that currently stands at 5.1 percent.  As illustrated below, the pension’s recent commitments have been to funds focused on the corporate sectors in Asia-Pacific, Europe and North America.  Platinum subscribers may click here for the investor’s full profile, including key contacts, allocation strategy and fund investments",0,,,0.0,0
736,"UPDATE: S.2168 - A bill to amend the Federal Water Pollution Control Act to modify the definition of navigable waters, and for other purposes.","LATEST ACTION: June 22, 2021 - Read twice and referred to the Committee on Environment and Public Works.

BILL TITLE: A bill to amend the Federal Water Pollution Control Act to modify the definition of navigable waters, and for other purposes.
[NOTE: The contents of this legislative update are current as of 06:00 AM on June 23, 2021.]  BILL NUMBER: 117th Congress: Senate Bill 2168 (S.2168)  CHAMBER OF ORIGIN: U.S. Senate  CURRENT CHAMBER: U.S. Senate  For DETAILED LEGISLATIVE INFORMATION on S.2168, visit: https://www.congress.gov/bill/117th-congress/senate-bill/2168  BILL TEXT: https://www.congress.gov/bill/117th-congress/senate-bill/2168/text  ACTIONS-TO-DATE (ordered by most recent first):  06/22/2021 -- Senate -- Read twice and referred to the Committee on Environment and Public Works.  06/22/2021 -- Senate -- Introduced in Senate.  SPONSOR(S)*:  -- Sen. Braun, Mike [R-IN]  CO-SPONSOR(S)*:  [*Note: Sponsors and co-sponsors are current as of June 22, 2021. For the most up-to-date version of the sponsor and co-sponsor lists, visit: https://www.congress.gov/bill/117th-congress/senate-bill/2168/cosponsors ]  -- Sen. Ernst, Joni [R-IA]  -- Sen. Grassley, Chuck [R-IA]  COMMITTEES: Senate Environment and Public Works Committee.",0,,,0.0,0
743,One in 25 people set to inherit more than a million,"One in 50 expect to receive over £5m, research by Canada Life reveals

Without an inheritance strategy, tax on a £1m estate amounts to £230,000, however only one in 20 know about the residence nil rate band tapering for estates over £2m, according to Canada Life's annual IHT monitor.
Of the consumers questioned (aged 45 and over), 24% expect an inheritance of £250,000, while 15% are looking to receive £500,000.  The figures reflect rising UK wealth in recent decades, however without financial planning individuals can expect to be hit with 40% IHT for assets above the nil rate band threshold.  However a professional adviser can help plan a wealthy individual's finances - which could include a life assurance trust - to fall below the IHT threshold.  ""People's expectations are likely to be substantially wrong without financial planning, and it's quite likely they could lose substantial amounts of money in tax. Yet it's quite possible to ensure that, by using a straightforward trust, the entire amount goes where it is intended - the beneficiaries.  ""For people expecting around £500,000 or more in inheritance, there is still a danger of losing tens of thousands of pounds in tax. It's very much worth their while talking to a professional adviser or planner to make sure there's a sound financial plan at work. The risk of a big IHT bill drops to zero at the inheritance tax threshold of £325,000, below which there is no tax.""  The survey, carried out in October 2017, involved 1001 consumers over 45 or over with total assets exceeding the standard inheritance nil rate band of £325,000.  Without an inheritance strategy, tax on a £1m estate amounts to £230,000, however only one in 20 know about the residence nil rate band tapering for estates over £2m, according to Canada Life's annual IHT monitor.  Of the consumers questioned (aged 45 and over), 24% expect an inheritance of £250,000, while 15% are looking to receive £500,000.  The figures reflect rising UK wealth in recent decades, however without financial planning individuals can expect to be hit with 40% IHT for assets above the nil rate band threshold.  However a professional adviser can help plan a wealthy individual's finances - which could include a life assurance trust - to fall below the IHT threshold.  ""People's expectations are likely to be substantially wrong without financial planning, and it's quite likely they could lose substantial amounts of money in tax. Yet it's quite possible to ensure that, by using a straightforward trust, the entire amount goes where it is intended - the beneficiaries.  ""For people expecting around £500,000 or more in inheritance, there is still a danger of losing tens of thousands of pounds in tax. It's very much worth their while talking to a professional adviser or planner to make sure there's a sound financial plan at work. The risk of a big IHT bill drops to zero at the inheritance tax threshold of £325,000, below which there is no tax.""  The survey, carried out in October 2017, involved 1001 consumers over 45 or over with total assets exceeding the standard inheritance nil rate band of £325,000.  To view photo, click here.",1,,,0.0,0
746,Super rort costing us billions,"EMPLOYERS are ripping off one in three workers by failing to pay compulsory superannuation contributions, with the loss to retirement savings tipping a staggering $3.6 billion a year.

New analysis based on never-before released tax office numbers reveals 2.4 million workers are missing out on what is a legal retirement entitlement.
The analysis conducted by Industry Super Australia and Cbus estimates at this rate unpaid super will reach $66 billion by 2024.  The report declares a compliance system filled with holes is failing to warn workers their contributions are not turning up.  “We have stories of workers who’ve put faith in the system only that their super, including extra voluntary contributions, has not been paid into their accounts and is lost completely when companies move into liquidation,” Cbus chairman Steve Bracks said.  “It is not unusual to hear from members who have lodged a complaint with the ATO still waiting for answers, let alone their money, years afterwards. “One said he was told recovery of unpaid super may take up to 10 to 20 years.”The average overall annual loss of retirement income per worker is $1489 a year.",0,,,1.0,1
755,Disabled veterans get break from property taxes,"EATON COUNTY — A new state law granting exemptions from property taxes for some disabled veterans came too late to allow most eligible veterans to avoid paying 2013 taxes. Some disabled veterans will need to pay the taxes, seek exemption retroactively and claim a refund next summer.

Public Act 161, signed into law by Gov. Rick Snyder on Nov. 13, allows exemption from all property taxes for honorably discharged veterans who are 100 percent disabled, or who are deemed by the Department of Veterans Affairs as unemployable, or who receive funds from the VA for adaptive housing.
The exemption could be claimed retroactively for 2013 taxes, but to qualify, the applications had to be filed and approved by local Boards of Review, which met during the week of Dec. 10, and cannot be reopened.  However, though the bill was initiated in May, by the time it found it's way through two houses, the governor's office and then reviewed by the state Tax Commission, it was too late for all but a few veterans to act on it this year.  The State Tax Commission met Dec. 16 and issued guidance for local assessors, along with approving the forms to be used by veterans to apply for exemptions. But the commission also authorized Boards of Review meeting in July, 2014 to grant retroactive exemptions for 2013 taxes.  A draft of the form has been circulating for several weeks, and as a result some veterans groups have been seeking out and helping potentially eligible veterans.  ""We just got it the week before the BOR,"" said Delta Township and Grand Ledge Assessor Brian Thelen. ""Nobody had any time to do anything. Everybody kind of ad-libbed and put together our own.""  Thelen said seven eligible veterans in Delta Township got claims for exemption filed in time for the December Board of Review. None were filed in time to be considered by the Grand Ledge Board of Review.  Tom Lewis of the Eaton County Veterans Services office said there are an estimated 250 disabled veterans in Eaton County who could qualify for total exemptions from property taxes if they own property. Statewide, the Senate Fiscal Agency estimates as many as 8,000 veterans could qualify.  Any veteran who might qualify for exemption from 2013 property taxes must file a claim with their local assessor's office for consideration at the July, 2014 Board of Review, but that will not meet until after the taxes are due and payable.  Eaton County Treasurer Bob Robinson said the law gives him no discretion on levying interest and penalties for late taxes.  ""My recommendation is to pay the tax to avoid the potential for any interest and penalties, and then apply for a refund,"" Robinson said.  Any Eaton County veteran may contact the county Veterans Services office at (517) 543-3740 for advice and assistance.",0,,,0.0,0
760,ASK NOEL,"Noel Whittaker answers your questions

I'M 29, on a gross salary of $70,000 and have no debts apart from a $25,000 HECS debt. What should I do with a spare $10,000? I considered making a voluntary HECS repayment to benefit from the bonus (discount for upfront payment) but wonder whether I would be better to put it into super, invest it or put it into a first home saver account, although I'm not considering buying property for another few years.
My preference is for the first home saver account as you will receive a guaranteed 17 per cent tax free on the first $5500, but this is only a viable option if you intend to buy a home in the foreseeable future. Keep in mind that the home saver account must be open for four financial years before you can access your money.  My wife and I are both in our mid-50s. We work full time and have two dependent children at university. We have been putting the maximum amount allowed into our super for many years. We are conservative in our investing habits: some shares and no investment properties. We live in a modest house. However, we have also been saving outside of our super with large sums in term deposits. What investment choices do we have without being penalised by the 46.5 per cent tax on interest income?  At your age the perfect choice is to contribute the money to super as a non-concessional contribution. Earnings will then be taxed at 15 per cent and because of your age you could withdraw the money if you had to stop work. Just keep in mind that such contributions are limited to $150,000 a year or $450,000 if you contribute three years in one lump sum.  Noel Whittaker, AM, is a co-founder of Whittaker Macnaught. Advice is general and readers should seek their own professional advice. Contact noel.whittaker@whittakermacnaught .com.au.",1,,,0.0,0
768,ABOUT TO RETIRE?,"EXPRESS RETIREMENT

Don't make any big decisions on your retirement income until you read this.
If you're approaching retirement, it's time to make some big decisions about your pension pot. Express Retirement Services, provided by Key Retirement Solutions, could increase your pension income for the rest of your life.  As you near retirement age, you'll receive a letter from your pension provider telling you how much income you'll receive if you buy your pension annuity through them. It's important to remember that you do not have to accept this offer, and that shopping around for your annuity could boost your pension income significantly.  Key Retirement Solutions take the hassle out of shopping around. Doing all the hard work for you, our annuity specialists will search the whole of the annuity market to look for better rates than your current provider.  You'll find out in a matter of minutes how much we could boost your income by, and we'll provide you with all the information you need to make the right decision. What's more, we don't charge you a fee as we receive payment from your chosen provider. You have nothing to lose but potentially thousands to gain!  How much more could you get?  Income increase  A: 30%  A. Potential increase in pension income by shopping around. Source: National Association of Pension Funds and the Pensions Institute Feb 2012  Over B: 80%  B. Actual increase achieved by 17 Key Annuity customers who qualified for an enhanced plan due to health and lifestyle conditions. Such conditions include high blood pressure, diabetes and smoking.  Source: Key Annuity customers July 2012 – June 2013  It depends on your individual circumstances if you are able to achieve the increases above.  A CUSTOMER'S STORY  ""I boosted my income with Key!""  Alan Harris was delighted he turned to Key Retirement Solutions after they managed to increase his pension income by 61%. ""I was over the moon with the increase; it was far more than I was originally going to receive"".  Alan was one of Key's many customers who have secured a bigger income with an Enhanced Annuity because of health and lifestyle conditions. ""I qualified for more money because of my emphysema and Crohn's disease. There was no medical involved, I didn't have to answer any intrusive questions about my health and the end result was more money in my pocket.""  Visit: expressretirement.co.uk to see just how much extra income you could get.  WHAT TO DO NOW  1 Call our expert annuity team for free  2 They'll ask you some simple questions, telling you within minutes how much more income you could receive  3 We'll send you all the information you need to choose the right annuity  4 Let us know how you want to proceed  5 We'll take care of all the paperwork  CALL OUR UK–BASED TEAM NOW TO FIND OUT IF YOU COULD GET A HIGHER PENSION INCOME  0808 252 9467  expressretirement.co.uk  Lines open 9am–7pm Mon – Thurs, 9am–5.30pm Fri.  Key Retirement Solutions is authorised and regulated by the Financial Conduct Authority. Registered office: Baines House, 4 Midgery Court, Fulwood, Preston PR9 2ZH. Registered in England (No.2457440).",1,,,1.0,1
774,"First it was football, now legendary coach Jim France retires as Manchester principal","Jim France has been at Manchester High School for nearly a half-century.

Indeed, nothing from his arrival in 1971 through the beginning of 2020 had been able to stop that streak.
Nothing, that is, until the COVID-19 pandemic reared its ugly head.  Citing that, and the accommodations stemming from the coronavirus that will have to be made, as the reason, France has announced his retirement, effective at the end of last week, as the school principal - a year earlier than planned.  When he retired as the school's head football coach on March 14, ending a tenure of 48 seasons that has left him as Ohio's all-time winningest coach with 401 victories, he was adamant that he would stay on at the school one more year as principal, a job he has held since 1984. This fall would have marked the beginning of his 37th school year as principal, and 50th overall after also having served as first a physical education teacher and then assistant principal.  But just as the coronavirus kept him from meeting personally with his players three months ago to tell them he was retiring as coach, it also kept him from finishing his time as principal on his schedule.  ""With this COVID thing and all the different stuff that will have to be done to deal with it when school starts up in the fall, I thing it's best if they get a younger person in here to do that,"" said France, who will turn 77 on Sept. 18.  Schools around Ohio, and for that matter around the state, aren't sure yet what that ""stuff"" is, but the implementation of whatever it turns out to be likely will not be easy. There will be a lot of learning going on, and not all of it will be by students.  ""It will be kind of sad - different - not being in that school next year. I wanted to be there, but that's just kind of the way it is,"" France said.  ""I will miss seeing the kids (some whose parents, and even grandparents, also attended Manchester while he was there). You build relationships with them. I will also miss the teachers, I worked with some of them for 20 or 30 years. You build relationships with them, too. They become your friends.""  It is not being able to say goodbye, to meet personally with those students and teachers and thank them for being part of his long journey at Manchester, that bothers him the most.  ""I really wanted to do that, but again, it's not going to be possible so you just have to deal with it,"" France said. ""I will still reach out to each and every one of the teachers, though.""  It will be one of the many things he will be doing now. He has plenty on the agenda, so the extra year will give him a head start on his retirement plans of spending even more time with his grandchildren and watching their activities, sports and otherwise; working on his garden in his back yard and on his diet with which he is already doing very well; staying active with the Ohio High School Football Coaches Association, including traveling to Columbus twice a month in his role as past president; possibly sneaking in and watching a couple Manchester football games, likely on the road so his presence won't cause a fuss; taking his successor and former assistant, new Panthers head football coach Jay Brophy, up on his invitation to stop in anytime at practice for however long he wants; and continuing to serve the church he has attended all his life, Sawyerwood United Methodist in Springfield Township, as one of the most high-profile custodians in the area.  ""I'll still be hanging around,"" France promised.  Unfortunately, though, COVID-19 will, too.",0,,,0.0,0
781,The Palm Springs Home Where Elvis and Priscilla Presley Honeymooned Asks $5.65 Million; The famous pair celebrated at the midcentury modern home following their Las Vegas wedding in 1967,"Be the first to know about the biggest and best luxury home sales and listings by signing up for our Mansion Deals email alert.

The Palm Springs, Calif., house where Elvis and Priscilla Presley spent their honeymoon is returning to market for $5.65 million following a nearly two-year renovation.
The iconic rock 'n' roll star rented the midcentury modern house for about a year starting in 1966, and he and his then-wife, Priscilla, celebrated there following their Las Vegas wedding the following year. The house is a Palm Springs landmark, long drawing tourists, Elvis fanatics and architecture lovers.  The sellers of the four-bedroom house are Seattle-based investors Dan Bridge and Paul Armitstead. Mr. Bridge, 68, said he is a rabbi who has worked in the nonprofit sector, and Mr. Armitstead, 67, is an architect who has designed apartment communities. The men are former brothers-in-law (Mr. Bridge used to be married to Mr. Armitstead's sister) and have been co-investing for several years in house revamps in Seattle and Palm Springs, Mr. Bridge said.  They first visited the property three or four years ago for an event held as part of Palm Springs' Modernism Week, an annual festival for architecture lovers, Mr. Bridge said. With its round walls and batwing-shaped roof, it reminded Mr. Bridge of a stealth bomber.  ""It looked like it was ready to take off,"" he said.  The roughly 4,700-square-foot home dates to around 1960, when it was designed by architect William Krisel, a Modernist architect known for his California tract homes, according to the Palm Springs Historic Site Preservation Board. The house essentially has no corners. Rather, its peanut-brittle-style stone walls curve around circular rooms, according to the sellers. In the living room, a roughly 60-foot-long, rounded built-in couch hugs the walls and surrounds a central fireplace. Outside, there is a pentagon-shaped pool, although the original tennis court no longer exists.  The story goes that Elvis and Priscilla Presley were set to marry at the house, but shifted their ceremony to Las Vegas after a local gossip columnist got wind of their plans. They returned to the home after the ceremony on Frank Sinatra's Learjet and Elvis carried Priscilla over the threshold singing ""The Hawaiian Wedding Song,"" according to the book, ""And the Rest Is History: The Famous (and Infamous) First Meetings of the World's Most Passionate Couples"" by Marlene Wagman- Geller. Ms. Presley's spokeswoman didn't respond to a request for comment.  The house was built as a personal residence for home builder Bob Alexander and his family, according to the preservation board. Mr. Alexander's firm, the Alexander Construction Company, built thousands of homes in Palm Springs and was responsible for most of the modern homes in the surrounding neighborhood, which is known as Vista Las Palmas.  At the time of its completion, the house was dubbed ""The House of Tomorrow"" and seen as a harbinger of a new era in modern design, with its electronic controls to manipulate the temperature, outside lights and sprinkler systems, according to a 1962 article in ""Look"" magazine. The magazine ran a spread on Mr. Alexander and his wife, Helene Alexander, and their cutting-edge home, calling it a ""$300,000 pleasure dome that proves California has only begun to show how luxurious things can be on this planet.""  The article portrayed the Alexanders as the ultimate Palm Springs ""It"" couple,"" at a time when the area was seeing an influx of wealthy buyers from L.A. In the mornings, the story said, Ms. Alexander would spend an hour putting on her false eyelashes and mascara, then head off to the racquet club, which was popular with movie stars, for a tennis lesson, which ""firms her legs."" In the evening, it was ""parties, parties, parties."" The Alexanders died in a plane crash a few years after the home was completed.  When Messrs. Bridge and Armitstead first saw the house during Modernism Week a few years ago, it had the look of a museum stocked full of Elvis memorabilia, Mr. Bridge said. The previous owner, Boston-based investor M.L. Lewis, was an Elvis superfan and maintained the property as a kind of time capsule, offering guided tours given by docents in Elvis and Priscilla costumes.  Mr. Bridge said he and Mr. Armitstead were overwhelmed by the memorabilia but saw potential in the house. At the time, the property had been on the market since 2014 asking $9.5 million, but they thought the price was too high. After a string of price cuts, they eventually pounced, buying it for $2.6 million in December 2020, records show. They didn't even return to see it again in person, Mr. Bridge said.  The pair's decision was driven by the architecture of the home as opposed to the Elvis connection, Mr. Bridge said, noting that neither he nor Mr. Armitstead is an Elvis devotee. The Elvis memorabilia, which included furnishings and framed Elvis photographs, movie posters and costumes, was removed and auctioned by the previous owner, they said.  ""I grew up as a big soul music fan and I appreciate Elvis, but I am not an Elvis groupie,"" Mr. Bridge said.  The two embarked on a lengthy renovation, which was slowed by the city's push in 2021 to designate the home as a historic landmark. They rebuilt the kitchen, replaced the round island in the center and modernized the fixtures and finishes. They replaced the windows and cleaned the exposed-rock walls. They refurbished the built-in sofa. The lack of right angles in the home meant nearly every countertop and fixture had to be custom-made, Mr. Bridge said.  They worked with the city to secure the historic designation, which required returning the home to its original exterior color by working with the 1960s paint supplier. They removed a fifth bedroom, which had been an illegal addition, he said, and restored the carport that had been originally attached to the home.  They also tore up the pool decking because it had been poured over the original plumbing and gas lines, which had galvanized and rusted and were no longer serviceable.  Mr. Bridge said he hasn't yet tallied up the total cost of the renovation and admitted he is a little scared to do so. He said it was always the plan to sell the house once the renovation was completed.  ""Our goal in this was not to have a museum, but rather turn this into a living and breathing home for people who will live in it, not just use it as a showpiece,"" he said.  Listing agent Marc Sanders of Compass said the Palm Springs market, like other luxury markets across the country, has dipped in the past few months amid interest-rate increases and inflation, but he believes desirable, well-priced homes still sell.  Write to Katherine Clarke at Katherine.Clarke@wsj.com  The Palm Springs Home Where Elvis and Priscilla Presley Honeymooned Asks $5.65 Million",0,,,0.0,0
784,"
Apple and Oracle to Offer
TV Set-Top Decoder Box
","
CUPERTINO, Calif. -- Apple Computer Inc. is entering the hotly
contested market for computerized TV set-top decoder boxes, in a
partnership with software supplier Oracle Corp.



New set-top decoders are needed to deliver new entertainment and
education services such as video-on-demand and interactive shopping,
over cable and telephone lines. The two companies said the new
set-top box will be based on Apple's Macintosh computer, which uses
Apple's proprietary operating system and a microprocessor chip from
Motorola Inc. The new box will work with Oracle Media Server
software, which would be used to store and retrieve movies and other
multimedia information, the companies said.

 They said they plan to deliver the technology on a trial basis in the first half of this year. Though they provided no more details, sources close to Oracle, Redwood City, Calif., have previously disclosed that the Macintosh technology would be used by British Telecommunications PLC for a trial in the London area. ",0,,,0.0,0
788,"
FSA tells over-50s to keep pension pot.
","
The financial services authority yesterday warned concerned
50-somethings not to be lured into cashing in their pension pots
early.



The City regulator is concerned that adverts launched by some firms
might persuade people to ""unlock"" their pensions, particularly given
the downturn in the market which could be depressing the value of their
other investments.

 The FSA has begun to investigate some firms which have already enticed up to 10,000 people over the age of 50 to cash in their pensions early but often to their long-term detriment. The financial advisers, however, often do well, charging the consumer fees and the pension provider a commission.    ""Releasing cash early may sound very tempting but you need to stop and think about whether you really need to do it. It is rarely in anyone's long term financial interests,"" said David Kenmir, director of investment firms at the FSA.    Once over the age of 50, people who have been saving for their pensions can transfer their savings in an occupational or personal pension into a new pension arrangement from which they can release their money. They can then take a tax-free lump and buy an annuity, which the FSA warns will ""substantially reduce"" their income during retirement.    ""Only in exceptional cases, where you have immediate needs and no other option, should you even consider doing it. It is an expensive way to free up extra cash and your financial adviser may well take a fee for dealing with it - meaning that part of your hard earned pension pot will benefit him rather than you,"" Mr Kenmir said. ",0,,,0.0,0
792,S&P 500 Slips as Rising U.S. Yields Dent Growth Stocks,"By Yasin Ebrahim

Investing.com -- The S&P 500 slumped Monday, as growth sectors of the market including tech and consumer were under pressure from rising Treasury yields amid fears about Federal Reserve chairman Jerome Powell delivering a hawkish surprise later this week.
The S&P 500 fell 2.3%, the Dow Jones Industrial Average slipped 2.0%, or 665 points, the Nasdaq was down 2.7%.  Tech stocks struggled to shake off pressure from rising Treasury yields, the enemy of stocks that have high valuations, as investors await fresh clues on monetary policy from the Federal Reserve at the central bank’s annual Jackson Hole symposium later this week.  “[A] more hawkish tone is likely to set the stage for a more aggressive rate move next month, while a softer or more dovish tone will expectedly reinvigorate hopes of a lesser sized move,” Stifel said in a note.  Google-parent Alphabet (NASDAQ:GOOGL), Microsoft (NASDAQ:MSFT), and Meta Platforms (NASDAQ:META) were down more than 2%.  Netflix (NASDAQ:NFLX) fell more than 6% after CFRA downgraded the stock to sell from hold and cut its price target on the stock to $238 from $345 on worries that the streaming giant’s earnings will decline in the second half of the year.  Ford Motor (NYSE:F), meanwhile, dragged consumer stocks lower as the automaker was ordered to pay $1.7 billion to the family of Voncile and Melvin Hill, who were killed in a fatal rollover of a F-250 pickup truck. The automaker also said it would slash 3,000 jobs in the U.S. and Canada.  Energy was the relatively outperforming sector on the day, down about 0.5%, as oil prices recovered losses after Saudi energy minister touted the prospect of major oil producers cutting costs to ensure that oil futures price reflect the current supply and demand fundamentals.  APA (NASDAQ:APA), Coterra Energy (NYSE:CTRA) were the major gainers, while Occidental Petroleum (NYSE:OXY) declined more than 2% on reports that Warren Buffett’s Berkshire Hathaway isn’t considering a takeover despite increasing his stake to 50% in the oil major.  In other news, meme-related stocks including GameStop (NYSE:GME), Bed Bath&Beyond Inc (NASDAQ:BBBY), and AMC Entertainment Holdings Inc (NYSE:AMC) were also under pressure, with the latter down more than 41% as the company’s new preferred share class begin trading.  Click here",0,,,0.0,0
795,ISU board OKs tuition increases and new budget,"The Indiana State University board of trustees on Friday approved a student tuition increase and a 2017-18 budget.

Tuition will increase 1.94 percent for 2017-18, or $85 per semester for a full-time, resident undergraduate student; that translates to $8,716 in tuition for the academic year, plus a $200 mandatory fee for the Student Recreation Center.
The goal of trustees ""was to make sure we were maintaining increases within the rate of inflation,"" said Diann McKee, senior vice president for finance.  Trustee Jeff Taylor, who chairs the trustees' finance committee, described the increase as ""modest and reasonable.""  It's estimated the tuition increase will generate an additional $2 million in revenue toward next year's budget.  In other action, trustees approved a $189.3 million balanced general fund budget for 2017-18, about a $3.5 million increase over 2016-17.  About $65.1 million is from the state operating appropriation, with $105 million from student tuition. Tuition now accounts for 55.7 percent of projected revenue for the budget, while state appropriations make up about 34.4 percent. Over the past decade, the university has become more dependent on tuition revenue and less on the state appropriation, McKee told trustees during a finance committee meeting.  ""It is critical"" that the university continue to meet enrollment targets and grow student numbers, she said. The university is keeping tuition increases minimal so it remains affordable, but ""unless you have enrollment growth, there isn't going to be a lot of growth in tuition, and we've become very dependent on it.""  Meanwhile, the trend of declining state operating appropriations continues, with a $774,754 reduction for next year because of performance-based funding metrics. A net decrease in state appropriations of $355,000 occurs over the 2017-2019 biennium.  The 2017-18 operating budget includes a projected 1.25 percent increased pool for salary adjustments, with criteria to be determined once fall enrollment is known.  The budget includes a 1.25 percent increase in student wages; a 2 percent increase in student scholarships and a 6.3 percent increase for health insurance. The budget also includes a reserve of 3 percent of the prior year's budget, or $5.3 million.  The university made reallocations, or reductions, of more than $1 million to pay for increased compensation and other priorities. Much of the reductions came from vacant positions and salary/benefit savings.  The budget also includes an additional state appropriation of $2.3 million dedicated to student success initiatives.  In summary, McKee said, the budget ""maintains affordability for our students and we have a budgeted reserve to offset any contingencies that were not anticipated. We do have a small planned increase in compensation for faculty and staff and we are adding additional dollars for student scholarships. It does contain over $1 million of reallocations and reductions throughout our budget.""  President's departure  In other business, the board approved the position profile for national advertising and recruiting candidates for the next university president. The profile was developed by the Presidential Search Committee and incorporates feedback from a stakeholders' survey and campus-wide listening sessions.  Candidates are being encouraged to submit applications to the search firm assisting the university by August 30.  After nearly a decade leading Indiana State, Bradley announced on April 26 his plans to step down as the university's 11th president, effective January 2018.  Trustees also approved a ""post presidency letter of agreement"" with Bradley. After he steps down in January 2018, he will begin a one-year paid leave at 116 percent of his then current salary.  Upon completion of the paid leave, and for the next four years, he will remain an active faculty member and be compensated as outlined in his employment agreement, or at 77 percent of his base salary. ""We expect to be Terre Haute residents,"" Bradley said after the meeting.  During the four years, he will work half-time, with one-half the workload and responsibilities of a fully tenured professor.  Twenty percent of his time will be devoted to university development and advancement, and 80 percent of his time will be devoted to academic affairs. He will be given office space and a supply/expense budget of $25,000 per year.  ""I'm going to be doing whatever the provost and the president tell me to do,"" Bradley said. ""I expect there will be some instruction or interaction with students, and it's my expectation there will be some development work as well.""  Sue Loughlin can be reached at 812-231-4235 or at sue.loughlin@tribstar.com Follow Sue on Twitter @TribStarSue.",0,,,0.0,0
805,Amy Winehouse's net worth at the time of her tragic death and who her estate went to,"Amy Winehouse amassed an incredible fortune from her impressive singing career before her untimely death aged 27 – and her parents inherited her estate after her passing

Amy Winehouse, one of the world's most popular and promising stars, tragically passed away 10 years ago today, on July 23.
The 27-year-old Rehab singer was found dead in her London home in 2011, and was later found to have passed away from accidental alcohol poisoning.  The singer had amassed an incredible fortune throughout her impressive career, with the Back to Black album becoming the UK's biggest-selling album of the 21st century, which was eventually surpassed by Adele's 21.  But Amy didn't leave a will and her after-tax assets went to her mum, Janis and her dad Mitch.  Since the time of her death the value of her estate is believed to have grown considerably from song royalties.  Amy Winehouse net worth  Probate records showed that Amy's estate was listed as worth £4,257,580 in total assets, according to Forbes.  But after taxes and other debts her net worth was brought down to £2,944,554. Because she had no will, her parents inherited her estate.  Her parents went on to set up the Amy Winehouse Foundation to prevent harm from drug misuse among young people.  Winehouse made the eye-watering amount of money through her impressive singing career.  In 2002 she signed a deal with a record label, and a year later she released her first album, Frank.  Amy's second album, Back to Black, became even more successful – but it marked the beginning of a very dark time.  The singer won several awards, but she also had to cancel her US tour and was admitted to rehab.  She spent the rest of her life in a constant battle with addiction, and went back into rehab several times.  In 2011 she was forced to cancel another tour – a few months before her untimely death.  At the same time she released her first album, she met the man she would one day call her husband.  Blake Fielder-Civil was married to Amy from 2007 to 2009, and now reportedly lives in an estate in Leeds.  Fielder-Civil didn't inherit any money after Amy's death, despite the fact they were married during her time in the spotlight.  It was unlikely Amy's parents would share her inheritance with him, in an interview with ABC News, Mitch said he blamed him for his daughter's drug addiction. Blake has previously admitted to introducing her to heroin.  After Amy's death, Blake went into a coma due to a drug overdose.  He survived, and a few years later Fox News reported that he tried to make a claim against Winehouse's estate.  This was eight years after her death, which occurred two years after their divorce.  Fielder-Civil, who received a £250,000 pay out at the time of the divorce, reportedly felt he was entitled to a further claim.",0,,,0.0,0
